name;url;team
"Сбор. лин.№1 ""А"" см.   (ТРИМ-1)   ";1;76
"Сбор. лин.№1 ""А"" см.   (ТРИМ-2)   ";2;76
"Сбор. лин.№1 ""А"" см.   (CH-1)   ";3;76
"Сбор. лин.№1 ""А"" см.   (CH-2)   ";4;76
"Сбор. лин.№1 ""А"" см.   (FIN-1)   ";5;76
"Сбор. лин.№1 ""А"" см.   (FIN-2)   ";6;76
"Сбор. лин.№1 ""А"" см.   (SUB-1 DOOR)   ";7;76
"Сбор. лин.№1 ""А"" см.   (SUB-2 ENG)   ";8;76
"Сбор. лин.№1 ""А"" см.   (IN-PNL SUB)   ";9;76
"Сбор. лин.№1 ""А"" см.   (SPS SUB)   ";10;76
"Сбор. лин.№1 ""B"" см.   (ТРИМ-1)   ";11;77
"Сбор. лин.№1 ""B"" см.   (ТРИМ-2)   ";12;77
"Сбор. лин.№1 ""B"" см.   (CH-1)   ";13;77
"Сбор. лин.№1 ""B"" см.   (CH-2)   ";14;77
"Сбор. лин.№1 ""B"" см.   (FIN-1)   ";15;77
"Сбор. лин.№1 ""B"" см.   (FIN-2)   ";16;77
"Сбор. лин.№1 ""B"" см.   (SUB-1 DOOR)   ";17;77
"Сбор. лин.№1 ""B"" см.   (SUB-2 ENG)   ";18;77
"Сбор. лин.№1 ""B"" см.   (IN-PNL SUB)   ";19;77
"Сбор. лин.№1 ""B"" см.   (SPS SUB)   ";20;77
"Сбор. лин.№1 ""D"" см.   (ТРИМ-1)   ";21;78
"Сбор. лин.№1 ""D"" см.   (ТРИМ-2)   ";22;78
"Сбор. лин.№1 ""D"" см.   (CH-1)   ";23;78
"Сбор. лин.№1 ""D"" см.   (CH-2)   ";24;78
"Сбор. лин.№1 ""D"" см.   (FIN-1)   ";25;78
"Сбор. лин.№1 ""D"" см.   (FIN-2)   ";26;78
"Сбор. лин.№1 ""D"" см.   (SUB-1 Door)   ";27;78
"Сбор. лин.№1 ""D"" см.   (SUB-2 ENG)   ";28;78
"Сбор. лин.№1 ""D"" см.   (IN-PNL SUB)   ";29;78
"Сбор. лин.№1 ""D"" см.   (SPS SUB)   ";30;78
"Сбор. лин.№2 ""A"" см.   (ТРИМ-1)   ";31;79
"Сбор. лин.№2 ""A"" см.   (ТРИМ-2)   ";32;79
"Сбор. лин.№2 ""A"" см.   (CH-1)   ";33;79
"Сбор. лин.№2 ""A"" см.   (CH-2)   ";34;79
"Сбор. лин.№2 ""A"" см.   (FIN-1)   ";35;79
"Сбор. лин.№2 ""A"" см.   (FIN-2)   ";36;79
"Сбор. лин.№2 ""A"" см.   (SUB-2)   ";37;79
"Сбор. лин.№2 ""A"" см.   (SUB-1)   ";38;79
"Сбор. лин.№2 ""A"" см.   (SUB-3)   ";39;79
"Сбор. лин.№2 ""B"" см.   (ТРИМ-1)   ";40;80
"Сбор. лин.№2 ""B"" см.   (ТРИМ-2)   ";41;80
"Сбор. лин.№2 ""B"" см.   (CH-1)   ";42;80
"Сбор. лин.№2 ""B"" см.   (CH-2)   ";43;80
"Сбор. лин.№2 ""B"" см.   (FIN-1)   ";44;80
"Сбор. лин.№2 ""B"" см.   (FIN-2)   ";45;80
"Сбор. лин.№2 ""B"" см.   (SUB-2)   ";46;80
"Сбор. лин.№2 ""B"" см.   (SUB-1)   ";47;80
"Сбор. лин.№2 ""B"" см.   (SUB-3)   ";48;80
Сб/л. №3 Line off repair А см.(REP-1);49;81
Сб/л. №3 Inspection repair А см.(REP-2);50;81
Сб/л. №3 Engie repair А см.(REP-3);51;81
Сб/л. №3 04 repair А см.(REP-4);52;81
Сб/л. №3 A см.(кач-ва) Toe-In-Test;53;81
Сб/л. №3 A см.(кач-ва) DVT Test;54;81
Сб/л. №3 Line off repair B см.(REP-1);55;82
Сб/л. №3 Inspection repair B см.(REP-2);56;82
Сб/л. №3 Engien repair B см.(REP-3);57;82
Сб/л. №3 04 repair B см.(REP-4);58;82
Сб/л. №3 B см.(кач-ва) Toe-In-Test;59;82
Сб/л. №3 B см.(кач-ва) DVT Test;60;82
Сб/л. №3 Line off repair D см.(REP-1);61;83
Сб/л. №3 Inspection repair D см.(REP-2);62;83
Сб/л. №3 Engien repair D см.(REP-3);63;83
Сб/л. №3 04 repair D см.(REP-4);64;83
Сб/л. №3 D см.(кач-ва) Toe-In-Test;65;83
Сб/л. №3 D см.(кач-ва) DVT Test;66;83
