id;name;url;gend
1;Управление локализации и закупок прямых материлов (г.ташкент);1;1
2;УПРАВЛЕНИЯ ГЛОБАЛЬНЫХ ЗАКУПОК ;2;1
3;"Управление ""Качество и развитие поставщиков""";3;1
4;"Управление ""Система поставок""";4;1
5;ДИРЕКЦИЯ ПОСЛЕПРОДАЖНОГО ОБСЛУЖИВАНИЯ;5;1
6;ДИРЕКЦИЯ ПО ЗАКУПКЕ И РЕАЛИЗАЦИИ ЗАПАСНЫХ ЧАСТЕЙ;6;1
7;"Управление ""Информационные технологии""";7;1
8;Дирекция по управлению персоналом;8;2
9;УПРАВЛЕНИЕ ТРАНСПОРТНЫХ ПЕРЕВОЗОК И ЦЕНТРАЛЬНАЯ ОТГРУЗОЧНАЯ ПЛОЩАДКА;9;2
10;СЛУЖБА ОХРАНЫ ТРУДА, ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ И ЭКОЛОГИИ ;10;2
11;Управление качества;11;2
12;СЛУЖБА БЕЗОПАСНОСТИ ДВИЖЕНИЯ;12;2
13;ДИРЕКЦИЯ ТЕХНОЛОГИИ И ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ;13;3
14;"Управление ""Производство""";14;3
15;"Управление ""Инженерная продукция""";15;3
16;ДИРЕКЦИЯ МАРКЕТИНГА, МОНИТОРИНГА,РАЗВИТИЯ И ПРОДАЖ;16;4
17;Управление финансов и бухгалтерского учёта;17;4
18;ДИРЕКЦИЯ ЭКОНОМИЧЕСКОГО ПЛАНИРОВАНИЯ;18;4
19;Зам начальника управления;19;6
20;Секция гражданской защиты и пожарной безопасности;20;6
21;Группа информационного анализа и оперативного реагирования;21;6
22;СЛУЖБА АДМИНИСТРАЦИИ г.Асака;22;10
23;Отдел надомного труда ;23;10
24;Отдел координации(г.Асака);24;10
25;ОТДЕЛ КОММУНАЛЬНОГО ОБСЛУЖИВАНИЯ;25;11
26;ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА;26;11
27;Производственный цех;27;12
28;Группа планирования, контроля заказов и остатков;28;12
29;Группа вспомогательного производства;29;12
30;Секция контроля и обеспечения качества;30;12
31;Группа  технического обслуживания;31;12
32;Секция отгрузки готовой продукции;32;12
33;Транспортная секция;33;12
34;Группа  хозяйственного обслуживания;34;12
35;Станция технического обслуживания;35;12
36;Учебно-производственный инжиниринговый центр;36;12
37;Зам. директора дирекции стратегического развития и инвестиций;37;13
38;Секция контроля документов;38;5
39;ПРОИЗВОДСТВЕННЫЙ ОТДЕЛ;39;5
40;Склад запасных частей для а/с ;40;5
41;ЦОП;41;5
42;Секция предпродажной инспекции;42;5
43;Секция менеджмента качества;43;5
44;ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ СЛУЖБА;44;5
45;Секция технологии производства;45;5
46;Секция инфор-ных технологий;46;5
47;Секция коммунальной службы;47;5
48;ОТДЕЛ ЗАКУПКИ И ЛОКАЛИЗАЦИИ;48;5
49;ОТДЕЛ СИСТЕМА ПОСТАВОК;49;5
50;Секция инженерной продукции;50;5
51;Отдел качества;51;5
52;ОТДЕЛ УПРАВЛЕНИЯ ПЕРСОНАЛОМ;52;5
53;Секция ОТ,БД и Э;53;5
54;ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬ-СТВА;54;5
55;Спецотдел;55;5
56;Административно-хозяйственный отдел;56;5
57;Начальник секции утилизации промышленных отходов;57;5
58;ЮРИДИЧЕСКИЙ ОТДЕЛ (г.АСАКА);58;9
59;ОТДЕЛ ЭКСПЕРТИЗЫ КОНТРАКТОВ;59;9
60;ПРАВОВОЙ ОТДЕЛ;60;9
61;Секция экономического анализа и ревизии хозяйственной деятельности;61;7
62;Секция аудита бухгалтерского учёта и отчётности;62;7
63;Группа  PDI г.Ташкент;63;12
64;Бюро пропусков;64;6
65;Весовая;65;6
66;Группа системы теленаблюдения;66;6
